Serial number,Model,PCB #,Panel (A-B),Shell,Source,Date
C19669839,CGB-JPN-2,?,4-2,SE Ozzie! translucent green/yellow,AU eBay,2024-11-06
C19670833,CGB-JPN-2,"04",2-2,SE Ozzie! translucent green/yellow,AU eBay,2024-12-30
C19670944,CGB-JPN-2,"04",1-2,SE Ozzie! translucent green/yellow,AU eBay,2025-05-27
C19702240,CGB-JPN-2,"04",1-1,🩵 Teal,US eBay,2024-09-09
C19704326,CGB-JPN-2,"04",5-1,🩵 Teal,JP eBay,2022-08-14
C19710625,CGB-JPN-2,"04",1-2,💛 Dandelion,JP eBay,2024-08-30
C19710904,CGB-JPN-2,"02",5-2,💛 Dandelion,US eBay,2024-08-17
C19716657,CGB-JPN-2,"04",6-1,"SE Tsutaya translucent blue, yellow buttons",US eBay,2025-11-06
C19718602,CGB-JPN-2,"04",2-2,"SE Tsutaya translucent blue, yellow buttons",JP J4U,2024-09-05
C19719938,CGB-JPN-2,"04",6-1,"SE Tsutaya translucent blue, yellow buttons",JP J4U,2024-09-05
C19720213,CGB-JPN-2,"04",1-2,"SE Tsutaya translucent blue, yellow buttons",JP J4U,2024-09-05
C19720478,CGB-JPN-2,"04",5-1,"SE Tsutaya translucent blue, yellow buttons",JP eBay,2025-11-21
C19720504,CGB-JPN-2,"04",2-2,"SE Tsutaya translucent blue, yellow buttons",JP J4U,2024-09-05
C19720785,CGB-JPN-2,"04",1-2,"SE Tsutaya translucent blue, yellow buttons",JP eBay,2025-09-16
C19722421,CGB-JPN-2,"04",?-?,"SE Tsutaya translucent blue, yellow buttons",US Marketplace,2025-03-26
C19722546,Missing,"04",1-1,"SE Tsutaya translucent blue, yellow buttons",JP eBay,2024-11-08
C19722710,CGB-JPN-2,"04",5-2,"SE Tsutaya translucent blue, yellow buttons",JP J4U,2024-09-05
C19723653,CGB-JPN-2,?,?-?,"SE Tsutaya translucent blue, yellow buttons",JP eBay,2024-12-05
C19723868,CGB-JPN-2,"04",1-1,"SE Tsutaya translucent blue, yellow buttons",JP J4U,2024-09-05
C19724095,CGB-JPN-2,"04",1-1,"SE Tsutaya translucent blue, yellow buttons",JP J4U,2024-09-05
C19725072,CGB-JPN-2,"04",4-1,"SE Tsutaya translucent blue, yellow buttons",JP J4U,2024-09-05
C19725753,CGB-JPN-2,"04",5-1,"SE Tsutaya translucent blue, yellow buttons",JP J4U,2024-09-05
C19725836,CGB-JPN-2,"04",1-2,"SE Tsutaya translucent blue, yellow buttons",IT eBay,2025-06-05
C19737695,CGB-JPN-2,"04",1-?,💜 Grape,JP eBay,2022-08-17
C19743259,CGB-JPN-2,"04",?-?,💜 Grape,JP eBay,2025-01-09
C19746426,CGB-JPN-2,"04",2-1,💜 Grape,JP eBay,2024-09-03
C19748568,CGB-JPN-2,"04",1-1,💜 Grape,JP eBay,2024-12-06
C19756417,CGB-JPN-2,"05",1-2,💜 Grape,JP eBay,2024-12-19
C19756983,CGB-JPN-2,"05",1-2,💜 Grape,JP eBay,2024-12-20
C19761218,CGB-JPN-2,"04",1-2,🤍 Clear translucent,US eBay,2025-08-11
C19764201,CGB-JPN-2,"03",1-2,🤍 Clear translucent,US eBay,2025-01-03
C19765147,Missing,"05",4-1,🤍 Clear translucent,JP eBay,2024-08-14
C19771703,Missing,"04",11-2,💟 Atomic purple,US eBay,2024-09-15
C19781360,CGB-JPN-2,"05",1-2,🤍 Clear translucent,JP eBay,2024-08-22
C19786224,CGB-JPN-2,"04",6-2,💟 Atomic purple,JP eBay,2023-04-15
C19794682,CGB-JPN-2,"04",1-1,❄️ SE translucent ice blue,JP eBay,2024-09-02
C19796084,CGB-JPN-2,"04",5-2,❄️ SE translucent ice blue,JP eBay,2024-08-28
C19797166,CGB-JPN-2,"05",3-2,❄️ SE translucent ice blue,AU eBay,2025-07-23
C19797460,Missing,"05",4-2,❄️ SE translucent ice blue,JP eBay,2025-01-13
C19798950,CGB-JPN-2,"05",5-2,❄️ SE translucent ice blue,JP eBay,2024-07-20
C19799570,CGB-JPN-2,?,?-?,❄️ SE translucent ice blue,US eBay,2024-08-15
C19821988,CGB-JPN-2,"04",?-1,🩵 Teal,JP eBay,2025-10-07
C19824224,Missing,"05",?-1,🩵 Teal,JP eBay,2025-11-19
C19824416,CGB-JPN-2,"05",3-2,🩵 Teal,JP eBay,2024-09-04
C19832218,CGB-JPN-2,"05",1-1,💟 Atomic purple,JP eBay,2024-09-12
C19834464,CGB-JPN-2,"05",1-1,💛 Dandelion,JP eBay,2024-11-25
C19837308,CGB-JPN-2,"05",9-2,💛 Dandelion,JP eBay,2024-08-09
C19845550,CGB-JPN-2,"05",2-1,❄️ SE translucent ice blue,JP J4U,2024-09-06
C19850256,CGB-JPN-2,"05",1-1,❄️ SE translucent ice blue,JP eBay,2024-11-06
C19850490,CGB-JPN-2,"05",?-2,❄️ SE translucent ice blue,UK eBay,2024-07-23
C19850509,CGB-JPN-2,"05",3-1,❄️ SE translucent ice blue,US eBay,2025-11-28
C19851603,CGB-JPN-2,"05",9-2,❄️ SE translucent ice blue,JP J4U,2025-06-03
C19852815,CGB-JPN-2,"05",12-1,❄️ SE translucent ice blue,UK eBay,2025-01-21
C19852956,CGB-JPN-2,"04",1-2,❄️ SE translucent ice blue,JP Hakushin,2024-07-09
C19854015,CGB-JPN-2,"05",1-2,❄️ SE translucent ice blue,JP eBay,2024-11-20
C19854050,CGB-JPN-2,"05",1-2,❄️ SE translucent ice blue,JP eBay,2025-05-27
C19857407,CGB-JPN-2,"05",2-2,❄️ SE translucent ice blue,US eBay,2024-12-24
C19859381,CGB-JPN-2,"05",2-?,❄️ SE translucent ice blue,AU eBay,2024-11-10
C19861991,CGB-JPN-2,"05",1-1,❄️ SE translucent ice blue,JP Hakushin,2024-07-09
C19863572,CGB-JPN-2,"05",3-2,❄️ SE translucent ice blue,US eBay,2024-07-28
C19866677,CGB-JPN-2,"05",5-1,❄️ SE translucent ice blue,JP J4U,2024-09-06
C19868375,CGB-JPN-2,"05",1-1,❄️ SE translucent ice blue,AU eBay,2024-08-30
C19869170,CGB-JPN-2,"05",2-1,❄️ SE translucent ice blue,JP eBay,2025-06-06
C19894477,CGB-JPN-2,"05",1-2,💜 Grape,JP eBay,2024-08-22
C19895693,CGB-JPN-2,"05",7-2,💜 Grape,JP eBay,2025-01-13
C19909422,CGB-JPN-2,"05",1-2,💟 Atomic purple,JP eBay,2024-12-11
C19912413,CGB-JPN-2,"05",2-1,🩷 Berry,JP eBay,2024-08-14
C19918447,CGB-JPN-2,"05",1-2,🩷 Berry,JP eBay,2022-07-26
C19919347,CGB-JPN-2,"05",1-2,🩷 Berry,JP eBay,2024-08-09
C19932576,CGB-JPN-2,"05",4-2,💛 Dandelion,JP eBay,2024-09-12
C19933462,CGB-JPN-1,"05",12-1,💛 Dandelion,JP Yahoo,2022-07-21
C19945016,CGB-JPN-2,"05",4-2,🤍 Clear translucent,JP eBay,2024-08-05
C19947877,CGB-JPN-2,"05",6-1,🤍 Clear translucent,US eBay,2024-09-12
C19954454,CGB-JPN-2,"05",6-1,🤍 Clear translucent,JP eBay,2024-09-12
C19964859,CGB-JPN-2,"05",1-2,💟 Atomic purple,UK eBay,2025-02-05
C20000163,CGB-JPN-2,"05",1-2,💜 Grape,JP eBay,2024-07-30
C20021673,CGB-JPN-2,"05",1-2,💜 Grape,UK eBay,2022-07-18
C20024752,Missing,"05",4-1,💜 Grape,US eBay,2025-05-27
C20024764,CGB-JPN-2,"05",2-2,💜 Grape,JP eBay,2022-08-13
C20038891,CGB-EUR,"05",4-1,💛 Dandelion,DE eBay,2025-11-18
C20055379,CGB-EUR,"05",1-2,💟 Atomic purple,UK eBay,2024-11-30
C20059292,CGB-EUR,"05",8-1,💟 Atomic purple,DE eBay,2025-11-26
C20061583,CGB-JPN-2,"05",2-2,🤍 Clear translucent,JP eBay,2024-07-21
C20080498,CGB-JPN-2,"05",4-2,🩵 Teal,AU eBay,2024-09-16
C20081347,CGB-JPN-2,"05",1-2,🩵 Teal,JP eBay,2024-07-30
C20103122,CGB-EUR,"05",6-2,🩵 Teal,UK eBay,2024-07-15
C20133226,CGB-EUR,"05",?-1,🩷 Berry,DE eBay,2025-11-18
C20140197,CGB-JPN-2,"05",5-2,💜 Grape,US eBay,2024-08-12
C20200998,CGB-JPN-2,"05",9-2,🤍 Clear translucent,JP eBay,2024-08-10
C20203697,Reproduction,"05",5-2,🩷 Berry,DE eBay,2025-11-18
C20212737,CGB-JPN-2,"05",2-2,💟 Atomic purple,JP eBay,2024-10-26
C20216762,CGB-JPN-2,?,?-?,💟 Atomic purple,UK eBay,2022-06-28
C20247962,CGB-JPN-2,"05",1-2,🩷 Berry,JP eBay,2022-08-16
C20250385,CGB-JPN-2,"05",4-1,🩷 Berry,JP eBay,2024-09-01
C20253140,CGB-JPN-2,"05",?-?,🩷 Berry,US eBay,2024-09-15
C20256087,CGB-JPN-2,"05",2-2,🩷 Berry,JP eBay,2023-04-15
C20266724,CGB-JPN-2,"05",5-1,💛 Dandelion,JP eBay,2022-08-17
C20283483,CGB-JPN-2,"05",12-2,🤍 Clear translucent,JP eBay,2023-04-15
C20290040,CGB-JPN-2,"05",?-1,💟 Atomic purple,US eBay,2025-12-01
C20296666,CGB-JPN-2,"05",5-1,💟 Atomic purple,US eBay,2025-11-30
C20332198,CGB-JPN-2,"05",1-2,🤍 Clear translucent,US eBay,2025-01-02
