Serial number,Model,PCB #,Panel (A-B),Shell,Source,Date
CG141474647,CGB-POB-JPN-1,"04",1-1,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2024-08-16
CG141478553,CGB-POB-JPN-1,"04",?-?,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2024-07-17
CG141752677,CGB-POB-JPN-1,"04",9-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2024-11-14
CG141839101,CGB-POB-JPN-1,?,?-?,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2024-12-06
CG141898573,CGB-POB-JPN-1,"04",3-1,💙 SE Pokemon w/ Togepi yellow/blue 🥚,UK eBay,2025-01-21
CG142053834,CGB-JPN-1,"04",1-2,💚 Kiwi,US eBay,2025-11-17
CG142292646,CGB-JPN-1,"04",1-1,🩵 Teal,US eBay,2025-01-03
CG142335923,CGB-JPN-1,"04",1-2,🩵 Teal,US eBay,2024-12-21
CG142645961,CGB-JPN-1,"04",3-1,🩵 Teal,US eBay,2025-11-20
CG142698479,CGB-JPN-1,"04",1-2,🩵 Teal,US eBay,2024-08-23
CG142709755,CGB-JPN-1,"04",4-1,🩵 Teal,US eBay,2025-11-21
CG142784738,CGB-JPN-1,"04",1-1,🩵 Teal,US eBay,2025-01-03
CG143110796,CGB-JPN-1,"04",1-2,💚 Kiwi,JP J4U,2025-06-02
CG143816889,CGB-JPN-1,"04",1-2,💚 Kiwi,US eBay,2025-06-04
CG143822781,CGB-JPN-1,"04",1-2,💚 Kiwi,US eBay,2024-07-29
CG144441547,CGB-JPN-1,"04",1-1,🩵 Teal,US eBay,2025-11-13
CG144551529,CGB-JPN-1,"04",?-?,🩵 Teal,US eBay,2024-11-07
CG144751622,CGB-JPN-1,"04",1-1,🩵 Teal,US eBay,2025-11-06
CG144871535,CGB-JPN-1,"04",1-2,🩵 Teal,US eBay,2025-01-30
CG145550071,CGB-JPN-1,"04",1-1,🩵 Teal,US eBay,2025-11-18
CG145626356,CGB-JPN-1,"04",1-1,🩵 Teal,UK eBay,2022-08-02
CG145769428,CGB-JPN-1,"04",?-?,💚 Kiwi,US eBay,2025-01-16
CG146158245,CGB-JPN-1,"04",1-2,💚 Kiwi,US eBay,2025-11-27
CG146207578,CGB-JPN-1,"04",1-2,💚 Kiwi,US eBay,2024-08-15
CG146396128,CGB-JPN-1,"04",1-1,🩵 Teal,US eBay,2025-11-08
CG146624641,CGB-JPN-1,"04",1-1,💚 Kiwi,US eBay,2025-11-07
CG147337724,CGB-JPN-1,"04",1-2,🩵 Teal,US eBay,2025-11-17
CG147342667,CGB-JPN-1,"04",1-1,🩵 Teal,US eBay,2025-01-16
CG147530880,CGB-JPN-1,"04",1-?,💚 Kiwi,US eBay,2024-09-01
CG147596442,CGB-JPN-1,"04",1-2,💚 Kiwi,US eBay,2024-11-23
CG147602907,CGB-JPN-1,"04",1-2,💚 Kiwi,US eBay,2024-12-01
CG147653060,CGB-JPN-1,"04",1-1,🩵 Teal,US eBay,2024-12-31
CG148176742,CGB-JPN-1,"03",1-1,🩵 Teal,US eBay,2025-05-29
CG148594621,CGB-JPN-1,"04",1-1,🩵 Teal,US eBay,2024-08-30
CG148606461,CGB-JPN-1,"04",1-1,🩵 Teal,US eBay,2025-01-07
CG148678185,CGB-JPN-1,"04",1-1,🩵 Teal,US eBay,2025-01-14
CG148905410,CGB-JPN-1,"04",4-2,🩵 Teal,US eBay,2025-01-07
CG149058207,CGB-JPN-1,"04",6-2,🩵 Teal,US eBay,2025-11-26
CG149445922,CGB-JPN-1,"04",1-2,🩵 Teal,US eBay,2024-11-06
CG150122348,CGB-JPN-1,"04",1-1,🩵 Teal,US eBay,2025-10-24
CG150518271,CGB-JPN-1,"04",10-2,💚 Kiwi,US eBay,2024-11-09
CG150723941,CGB-JPN-1,"04",1-1,🩵 Teal,US eBay,2024-08-27
CG150945657,CGB-JPN-1,"04",2-2,🩵 Teal,US eBay,2024-11-22
